model,overall,LoF,missense,silent/nc
step 0 (frozen probe),0.7328131872717788,0.8129192546583851,0.5572155451395187,0.7599907812860105
"full FT (F4, best)",0.8065783620239958,0.8556521739130435,0.6223248976162974,0.8872243988630253
LoRA (F3),0.792393781950965,0.9033540372670807,0.5843937643790631,0.9004378889144965
full FT grid N=4096,0.7548688993218571,0.8546583850931677,0.5709468941223641,0.7632480602289314
LoRA grid N=4096,0.7435302660406886,0.7316770186335404,0.5617137456683818,0.7883536913267265
