model,missense_auc,lo_x,hi_x,composite_auc,d_auc,lo_y,hi_y
LoRA (F3),0.5843937643790631,0.5538157547591415,0.6148558350631259,0.9594225978090767,0.01200016692749084,0.008486677753131455,0.01562430050423029
LoRA grid N=4096,0.5617137456683818,0.531449790923473,0.5916679415769277,0.9561065832029212,0.008684152321335348,0.00526263819838636,0.012459350935208202
"full FT (F4, best)",0.6223248976162974,0.5940448101464681,0.6522066376752255,0.9625633385498175,0.015140907668231618,0.011646970152311647,0.018975336177748107
full FT grid N=4096,0.5709468941223641,0.5408639592525779,0.6013515118326046,0.9567237141366719,0.009301283255086057,0.00592153060014052,0.01309871393196206
step 0 (frozen probe),0.5572155451395187,0.5265663166041232,0.5876752807999349,0.9554597391757955,0.008037308294209677,0.004875345662765085,0.011223208098839817
